tech_id,week_start,paid_hours,billable_hours
T06,2025-12-09,38.3,30.8
T06,2025-12-16,37.4,24.0
T06,2025-12-23,41.8,30.6
T06,2025-12-30,36.4,25.1
T06,2026-01-06,36.5,23.4
T06,2026-01-13,38.2,25.6
T06,2026-01-20,36.2,27.8
T06,2026-01-27,36.4,22.1
T06,2026-02-03,37.0,30.8
T06,2026-02-10,41.1,36.0
T06,2026-02-17,38.0,29.9
T06,2026-02-24,40.2,27.7
T06,2026-03-03,38.3,25.2
T06,2026-03-10,37.7,29.7
T06,2026-03-17,41.3,35.6
T06,2026-03-24,36.2,29.9
T06,2026-03-31,37.5,28.0
T06,2026-04-07,37.6,26.1
T06,2026-04-14,37.3,30.7
T06,2026-04-21,38.4,27.2
T06,2026-04-28,36.1,24.8
T06,2026-05-05,38.4,28.0
T06,2026-05-12,36.7,22.8
T06,2026-05-19,41.6,33.3
T06,2026-05-26,38.5,31.8
T06,2026-06-02,41.1,36.1
T06,2026-06-09,40.7,29.3
T06,2026-06-16,39.7,31.4
T06,2026-06-23,39.9,27.7
T06,2026-06-30,38.6,31.1
T07,2025-07-01,40.1,36.6
T07,2025-07-08,40.9,35.4
T07,2025-07-15,37.2,30.0
T07,2025-07-22,38.5,28.1
T07,2025-07-29,40.2,36.9
T07,2025-08-05,40.2,33.9
T07,2025-08-12,38.9,27.6
T07,2025-08-19,38.4,29.8
T07,2025-08-26,42.0,29.8
T07,2025-09-02,37.9,34.0
T07,2025-09-09,37.8,30.1
T07,2025-09-16,36.8,30.8
T07,2025-09-23,36.4,24.4
T07,2025-09-30,39.9,26.1
T07,2025-10-07,40.6,29.6
T07,2025-10-14,39.3,26.5
T07,2025-10-21,36.2,30.9
T07,2025-10-28,38.3,30.3
T07,2025-11-04,36.4,29.3
T07,2025-11-11,40.6,24.3
T07,2025-11-18,41.4,28.3
T07,2025-11-25,36.1,30.0
T07,2025-12-02,39.5,36.2
T07,2025-12-09,40.6,27.2
T07,2025-12-16,40.0,31.0
T07,2025-12-23,39.4,28.9
T07,2025-12-30,36.7,28.2
T07,2026-01-06,36.9,26.5
T07,2026-01-13,40.6,23.6
T07,2026-01-20,40.6,31.8
T07,2026-01-27,40.4,32.9
T07,2026-02-03,41.5,26.3
T07,2026-02-10,37.8,28.3
T07,2026-02-17,37.6,27.3
T07,2026-02-24,36.2,29.6
T07,2026-03-03,40.3,27.3
T07,2026-03-10,40.0,28.6
T07,2026-03-17,41.8,37.5
T07,2026-03-24,41.7,35.5
T07,2026-03-31,37.8,33.6
T07,2026-04-07,36.1,27.9
T07,2026-04-14,37.7,30.1
T07,2026-04-21,38.5,25.9
T07,2026-04-28,36.2,26.9
T07,2026-05-05,39.7,32.3
T07,2026-05-12,40.9,31.7
T07,2026-05-19,37.6,29.4
T07,2026-05-26,39.6,37.2
T07,2026-06-02,37.4,36.7
T07,2026-06-09,41.5,32.2
T07,2026-06-16,40.7,29.1
T07,2026-06-23,40.9,30.0
T07,2026-06-30,40.2,26.0
T08,2025-07-01,40.9,36.6
T08,2025-07-08,36.7,30.8
T08,2025-07-15,38.8,30.5
T08,2025-07-22,39.8,30.8
T08,2025-07-29,41.7,32.2
T08,2025-08-05,36.7,30.7
T08,2025-08-12,41.3,25.7
T08,2025-08-19,40.6,30.5
T08,2025-08-26,41.5,36.2
T08,2025-09-02,37.5,31.9
T08,2025-09-09,40.6,35.9
T08,2025-09-16,41.4,30.0
T08,2025-09-23,39.9,31.3
T08,2025-09-30,41.6,32.5
T08,2025-10-07,40.6,32.5
T08,2025-10-14,39.6,31.6
T08,2025-10-21,36.9,28.2
T08,2025-10-28,41.3,31.5
T08,2025-11-04,37.2,25.3
T08,2025-11-11,39.1,30.2
T08,2025-11-18,41.4,33.5
T08,2025-11-25,37.0,28.6
T08,2025-12-02,36.9,32.4
T08,2025-12-09,39.3,37.2
T08,2025-12-16,39.9,31.9
T08,2025-12-23,41.1,25.9
T08,2025-12-30,38.0,33.9
T08,2026-01-06,36.1,26.8
T08,2026-01-13,36.9,24.9
T08,2026-01-20,38.0,29.4
T08,2026-01-27,39.4,28.5
T08,2026-02-03,37.7,26.8
T08,2026-02-10,36.5,25.5
T08,2026-02-17,39.6,30.1
T08,2026-02-24,36.7,23.6
T08,2026-03-03,41.2,28.0
T08,2026-03-10,37.0,26.0
T08,2026-03-17,36.1,28.7
T08,2026-03-24,36.2,28.6
T08,2026-03-31,39.7,31.4
T08,2026-04-07,38.7,26.5
T08,2026-04-14,42.0,28.2
T08,2026-04-21,38.5,27.0
T08,2026-04-28,37.7,23.9
T08,2026-05-05,37.3,30.1
T08,2026-05-12,39.9,28.2
T08,2026-05-19,39.9,29.2
T08,2026-05-26,40.9,35.3
T08,2026-06-02,38.9,32.3
T08,2026-06-09,40.4,31.6
T08,2026-06-16,37.8,27.2
T08,2026-06-23,37.8,25.7
T08,2026-06-30,39.9,28.8
T09,2025-07-01,36.1,17.3
T09,2025-07-08,36.5,21.9
T09,2025-07-15,38.8,12.8
T09,2025-07-22,37.5,18.5
T09,2025-07-29,39.4,22.8
T09,2025-08-05,38.4,18.1
T09,2025-08-12,37.5,11.5
T09,2025-08-19,38.3,16.1
T09,2025-08-26,41.5,17.3
T09,2025-09-02,37.8,14.7
T09,2025-09-09,40.6,18.3
T09,2025-09-16,40.1,19.7
T09,2025-09-23,40.2,17.7
T09,2025-09-30,38.5,14.9
T09,2025-10-07,39.2,16.5
T09,2025-10-14,38.6,11.3
T09,2025-10-21,40.1,22.5
T09,2025-10-28,41.8,21.9
T09,2025-11-04,37.6,11.8
T09,2025-11-11,41.3,15.5
T09,2025-11-18,38.1,15.9
T09,2025-11-25,40.3,13.3
T09,2025-12-02,39.1,17.5
T09,2025-12-09,37.7,15.1
T09,2025-12-16,42.0,14.3
T09,2025-12-23,41.8,17.7
T09,2025-12-30,38.4,17.0
T09,2026-01-06,38.8,17.6
T09,2026-01-13,38.4,8.1
T09,2026-01-20,39.5,19.5
T09,2026-01-27,39.4,19.6
T09,2026-02-03,38.9,21.9
T09,2026-02-10,41.4,13.7
T09,2026-02-17,36.8,17.6
T09,2026-02-24,39.6,17.4
T09,2026-03-03,38.3,17.7
T09,2026-03-10,39.7,19.5
T09,2026-03-17,36.1,14.2
T09,2026-03-24,38.7,16.9
T09,2026-03-31,41.6,15.7
T09,2026-04-07,41.4,16.4
T09,2026-04-14,38.3,22.8
T09,2026-04-21,41.7,16.8
T09,2026-04-28,39.9,20.8
T09,2026-05-05,39.6,22.4
T09,2026-05-12,41.7,15.3
T09,2026-05-19,40.5,16.3
T09,2026-05-26,40.4,19.1
T09,2026-06-02,39.1,14.1
T09,2026-06-09,40.3,14.9
T09,2026-06-16,41.5,18.1
T09,2026-06-23,38.6,15.5
T09,2026-06-30,39.2,18.7
T10,2025-07-01,36.3,33.3
T10,2025-07-08,41.4,30.3
T10,2025-07-15,40.9,33.7
T10,2025-07-22,39.2,31.8
T10,2025-07-29,37.1,29.1
T10,2025-08-05,41.9,31.3
T10,2025-08-12,38.4,36.4
T10,2025-08-19,37.7,30.6
T10,2025-08-26,36.3,32.8
T10,2025-09-02,41.6,31.8
T10,2025-09-09,36.9,25.2
T10,2025-09-16,36.4,25.2
T10,2025-09-23,40.8,31.6
T10,2025-09-30,41.1,27.2
T10,2025-10-07,41.2,31.6
T10,2025-10-14,37.3,25.3
T10,2025-10-21,36.7,30.2
T10,2025-10-28,39.0,35.9
T10,2025-11-04,36.9,26.3
T10,2025-11-11,36.8,25.9
T10,2025-11-18,39.5,26.4
T10,2025-11-25,41.0,30.8
T10,2025-12-02,38.3,32.8
T10,2025-12-09,41.6,37.4
T10,2025-12-16,36.8,30.9
T10,2025-12-23,41.8,31.0
T10,2025-12-30,39.9,33.0
T10,2026-01-06,38.0,30.3
T10,2026-01-13,37.4,26.1
T10,2026-01-20,38.6,28.6
T10,2026-01-27,39.7,32.3
T10,2026-02-03,37.6,25.3
T10,2026-02-10,41.4,26.3
T10,2026-02-17,39.4,34.8
T10,2026-02-24,41.9,33.9
T10,2026-03-03,41.9,25.2
T10,2026-03-10,36.2,31.0
T10,2026-03-17,39.2,30.3
T10,2026-03-24,41.3,36.4
T10,2026-03-31,37.5,31.5
T10,2026-04-07,41.6,29.2
T10,2026-04-14,36.6,29.5
T10,2026-04-21,39.2,22.8
T10,2026-04-28,36.9,25.2
T10,2026-05-05,40.6,35.7
T10,2026-05-12,40.6,29.3
T10,2026-05-19,41.1,34.5
T10,2026-05-26,41.6,32.6
T10,2026-06-02,38.9,31.7
T10,2026-06-09,37.4,30.4
T10,2026-06-16,36.4,29.9
T10,2026-06-23,37.9,33.7
T10,2026-06-30,38.4,33.5
