customer_id,segment
C0389,Commercial
C0390,Property Management
C0391,Property Management
C0392,Residential
C0393,Property Management
C0394,Residential
C0395,Residential
C0396,Commercial
C0397,Residential
C0398,Residential
C0399,Property Management
C0400,Residential
C0401,Residential
C0402,Commercial
C0403,Residential
C0404,Property Management
C0405,Residential
C0406,Commercial
C0407,Residential
C0408,Property Management
C0409,Residential
C0410,Residential
C0411,Residential
C0412,Property Management
C0413,Commercial
C0414,Commercial
C0415,Commercial
C0416,Property Management
C0417,Residential
C0418,Property Management
C0419,Property Management
C0420,Residential
