quote_id,date,customer_id,tech_id,job_type,amount,status
Q00056,2026-02-04,C0056,T10,Diagnostic,110.73,won
Q00057,2025-08-31,C0063,T03,Furnace Repair,367.89,lost
Q00058,2025-07-28,C0143,T02,AC Repair,203.73,won
Q00059,2025-09-04,C0105,T07,AC Install,3739.62,lost
Q00060,2025-07-31,C0173,T02,AC Repair,638.42,lost
Q00061,2025-11-23,C0119,T04,Maintenance,117.88,lost
Q00062,2025-11-14,C0078,T04,Wiring Repair,216.07,lost
Q00063,2025-10-21,C0105,T07,Furnace Repair,461.69,won
Q00064,2025-09-21,C0380,T10,AC Install,7184.79,open
Q00065,2026-03-06,C0127,T02,AC Install,8572.29,won
Q00066,2026-02-21,C0113,T03,Furnace Repair,325.32,won
Q00067,2026-06-09,C0297,T07,Electrical Panel Upgrade,4124.42,open
Q00068,2026-02-14,C0052,T04,Furnace Install,7944.78,won
Q00069,2026-02-13,C0379,T03,Diagnostic,141.61,open
Q00070,2026-01-11,C0392,T09,AC Repair,285.86,open
Q00071,2026-03-09,C0176,T09,Maintenance,131.19,won
Q00072,2026-05-12,C0311,T08,Maintenance,115.92,won
Q00073,2025-08-09,C0404,T03,Maintenance,141.92,won
Q00074,2025-12-28,C0128,T05,Maintenance,182.66,open
Q00075,2026-01-11,C0352,T01,Diagnostic,145.14,won
Q00076,2026-06-23,C0366,T08,AC Install,8300.6,won
Q00077,2025-12-24,C0011,T07,Wiring Repair,543.67,lost
Q00078,2026-02-03,C0131,T07,AC Install,5589.38,won
Q00079,2025-11-11,C0087,T03,Diagnostic,91.44,lost
Q00080,2026-03-22,C0196,T01,Furnace Install,5241.6,lost
Q00081,2025-08-16,C0316,T02,Furnace Repair,541.56,won
Q00082,2025-08-10,C0077,T08,Electrical Panel Upgrade,2591.51,open
Q00083,2025-11-20,C0210,T04,Furnace Repair,342.03,won
Q00084,2025-10-27,C0027,T10,AC Install,6935.65,lost
Q00085,2025-09-29,C0241,T09,Electrical Panel Upgrade,4343.44,open
Q00086,2025-10-29,C0309,T04,AC Repair,506.26,won
Q00087,2025-08-21,C0274,T03,Electrical Panel Upgrade,2135.17,lost
Q00088,2026-01-05,C0274,T03,Furnace Repair,664.72,won
Q00089,2025-07-05,C0393,T03,Wiring Repair,390.64,lost
Q00090,2026-03-14,C0070,T07,AC Repair,233.5,won
Q00091,2025-09-06,C0189,T10,Furnace Install,6413.64,won
Q00092,2025-11-03,C0364,T03,Diagnostic,83.24,won
Q00093,2026-05-24,C0194,T02,AC Repair,217.95,won
Q00094,2026-03-28,C0282,T07,Diagnostic,115.61,won
Q00095,2026-03-26,C0182,T09,Diagnostic,133.98,lost
Q00096,2026-01-24,C0209,T09,Electrical Panel Upgrade,2250.62,open
Q00097,2025-09-03,C0038,T04,AC Repair,449.9,won
Q00098,2025-11-30,C0212,T10,AC Install,5795.43,won
Q00099,2025-07-13,C0102,T08,Wiring Repair,725.22,won
Q00100,2026-05-23,C0303,T08,Furnace Repair,591.07,lost
Q00101,2026-05-29,C0126,T07,Electrical Panel Upgrade,2184.25,open
Q00102,2026-02-10,C0205,T08,Electrical Panel Upgrade,3059.14,lost
Q00103,2025-10-13,C0213,T03,Diagnostic,146.97,won
Q00104,2025-09-13,C0192,T05,AC Install,3818.72,won
Q00105,2026-01-14,C0307,T02,Maintenance,127.51,lost
Q00106,2026-04-09,C0246,T01,Diagnostic,80.08,won
Q00107,2025-12-06,C0052,T01,Furnace Repair,255.89,lost
Q00108,2025-11-16,C0261,T01,AC Repair,259.35,won
Q00109,2025-07-13,C0172,T07,Diagnostic,134.89,won
Q00110,2026-05-15,C0189,T05,Wiring Repair,235.64,won
Q00111,2025-09-02,C0222,T08,Diagnostic,132.27,won
Q00112,2026-04-07,C0194,T03,AC Install,5480.91,lost
Q00113,2026-05-22,C0073,T03,Electrical Panel Upgrade,3857.69,lost
Q00114,2026-05-12,C0202,T05,Maintenance,117.85,won
Q00115,2025-07-07,C0215,T04,Furnace Repair,476.03,won
Q00116,2025-09-16,C0291,T09,Maintenance,122.42,open
Q00117,2025-07-01,C0020,T03,AC Install,5093.05,won
Q00118,2025-08-03,C0085,T08,Furnace Install,8379.0,won
Q00119,2025-08-10,C0316,T06,Diagnostic,129.59,won
Q00120,2026-02-26,C0286,T10,Electrical Panel Upgrade,3279.4,open
Q00121,2025-12-17,C0080,T09,Wiring Repair,667.43,lost
Q00122,2026-04-28,C0399,T10,Electrical Panel Upgrade,4220.79,lost
Q00123,2025-07-12,C0140,T08,Maintenance,131.99,won
Q00124,2026-03-13,C0303,T01,Maintenance,128.34,open
Q00125,2025-08-24,C0115,T09,Furnace Repair,619.13,won
Q00126,2025-11-05,C0051,T03,Diagnostic,127.3,won
Q00127,2026-01-28,C0291,T07,Maintenance,132.39,won
Q00128,2025-09-22,C0397,T02,Diagnostic,98.55,open
Q00129,2026-02-09,C0079,T07,Maintenance,143.26,open
Q00130,2025-12-18,C0158,T02,Wiring Repair,364.98,open
Q00131,2026-03-09,C0110,T10,Maintenance,142.1,lost
Q00132,2025-11-24,C0412,T10,Furnace Install,4123.41,won
Q00133,2025-12-15,C0052,T02,Maintenance,99.75,lost
Q00134,2025-07-05,C0220,T09,Furnace Repair,436.18,won
Q00135,2026-06-23,C0002,T01,Furnace Repair,425.03,won
Q00136,2025-11-27,C0342,T06,Wiring Repair,600.4,won
Q00137,2025-12-06,C0020,T02,Wiring Repair,897.42,won
Q00138,2025-07-21,C0405,T04,AC Repair,234.97,won
Q00139,2026-03-09,C0304,T05,AC Install,5248.57,lost
Q00140,2025-08-06,C0034,T03,Electrical Panel Upgrade,3048.31,open
Q00141,2025-09-19,C0311,T08,AC Install,4842.75,won
Q00142,2026-01-18,C0356,T03,Wiring Repair,530.86,won
Q00143,2026-03-18,C0335,T05,Electrical Panel Upgrade,3705.28,lost
Q00144,2025-10-29,C0108,T06,Electrical Panel Upgrade,2449.84,lost
Q00145,2025-09-18,C0031,T02,AC Repair,443.84,won
Q00146,2025-08-25,C0077,T03,Diagnostic,129.21,won
Q00147,2025-12-18,C0123,T10,Wiring Repair,703.05,won
Q00148,2025-09-01,C0243,T04,Electrical Panel Upgrade,3571.69,lost
Q00149,2026-01-17,C0034,T06,Furnace Install,3473.91,lost
Q00150,2025-11-07,C0417,T03,Maintenance,154.19,lost
Q00151,2026-01-20,C0069,T08,Wiring Repair,771.05,lost
Q00152,2026-06-28,C0385,T06,Maintenance,163.22,lost
Q00153,2025-07-04,C0213,T05,Furnace Repair,228.47,open
Q00154,2025-12-19,C0072,T01,Furnace Repair,304.81,lost
Q00155,2025-11-20,C0214,T03,Furnace Install,3415.31,won
Q00156,2026-01-01,C0191,T10,Wiring Repair,436.03,won
Q00157,2026-03-14,C0076,T04,Furnace Install,5062.1,lost
Q00158,2026-03-16,C0201,T09,Electrical Panel Upgrade,4201.88,open
Q00159,2026-05-10,C0395,T07,Furnace Install,8518.97,lost
Q00160,2026-02-18,C0387,T09,Electrical Panel Upgrade,3032.38,lost
Q00161,2025-07-10,C0322,T10,Maintenance,215.43,won
Q00162,2026-01-30,C0293,T10,Diagnostic,92.32,won
Q00163,2026-04-29,C0136,T08,Furnace Install,4881.58,lost
Q00164,2025-07-20,C0131,T10,Furnace Install,5410.95,won
Q00165,2025-10-26,C0231,T04,AC Repair,269.49,won
Q00166,2025-07-25,C0275,T05,AC Install,8386.55,won
Q00167,2026-01-30,C0376,T09,AC Repair,547.31,lost
Q00168,2025-12-04,C0298,T08,AC Repair,256.71,lost
Q00169,2025-11-25,C0200,T04,AC Install,6864.53,won
Q00170,2026-04-06,C0351,T01,Furnace Install,5605.2,won
Q00171,2025-11-03,C0051,T01,Diagnostic,84.74,lost
Q00172,2025-11-10,C0344,T05,Furnace Repair,313.69,won
Q00173,2026-02-04,C0186,T03,Furnace Install,3746.58,open
Q00174,2025-12-06,C0080,T02,AC Install,8739.33,open
Q00175,2025-07-02,C0399,T02,Furnace Install,7513.9,lost
Q00176,2025-11-16,C0392,T02,Furnace Repair,414.67,won
Q00177,2026-03-31,C0063,T09,Diagnostic,111.09,lost
Q00178,2025-08-12,C0181,T02,Wiring Repair,323.48,lost
Q00179,2026-04-06,C0318,T01,Electrical Panel Upgrade,3971.81,lost
Q00180,2025-08-14,C0075,T03,AC Install,5552.61,won
Q00181,2026-06-19,C0388,T08,Furnace Install,6736.79,won
Q00182,2026-01-16,C0414,T02,Maintenance,156.13,lost
Q00183,2025-10-17,C0318,T04,Furnace Repair,511.49,lost
Q00184,2026-06-23,C0337,T04,AC Install,9102.78,lost
Q00185,2026-04-12,C0165,T07,Diagnostic,123.19,won
Q00186,2025-07-22,C0097,T08,AC Repair,151.86,won
Q00187,2026-06-06,C0213,T06,Wiring Repair,724.81,won
Q00188,2025-12-09,C0069,T02,Diagnostic,138.23,lost
Q00189,2026-04-14,C0070,T10,AC Install,6340.58,lost
Q00190,2026-04-09,C0320,T02,Wiring Repair,767.58,lost
Q00191,2026-05-23,C0160,T04,Wiring Repair,575.96,won
Q00192,2025-07-20,C0154,T01,AC Install,7488.94,open
Q00193,2026-06-22,C0079,T07,Electrical Panel Upgrade,2557.8,open
Q00194,2025-08-08,C0256,T02,Wiring Repair,415.87,won
Q00195,2025-07-12,C0168,T05,AC Repair,242.39,won
Q00196,2025-09-09,C0059,T06,AC Install,4070.94,won
Q00197,2025-12-18,C0094,T02,Wiring Repair,603.49,lost
Q00198,2025-08-10,C0142,T01,Furnace Install,4944.34,lost
Q00199,2026-04-04,C0296,T09,AC Install,8721.8,won
Q00200,2026-04-09,C0207,T02,Electrical Panel Upgrade,3831.22,won
Q00201,2026-02-01,C0138,T06,AC Install,7946.57,won
Q00202,2025-08-18,C0245,T02,AC Repair,171.26,lost
Q00203,2026-01-24,C0082,T05,AC Install,7045.12,lost
Q00204,2025-11-04,C0087,T06,AC Install,4610.78,open
Q00205,2026-06-24,C0241,T01,AC Install,4810.51,lost
Q00206,2025-09-25,C0003,T07,Furnace Install,7015.9,open
Q00207,2026-04-22,C0281,T08,Furnace Install,4532.31,won
Q00208,2026-05-10,C0271,T04,Maintenance,127.34,won
Q00209,2026-04-29,C0148,T10,Maintenance,124.29,lost
Q00210,2025-09-02,C0332,T05,Maintenance,168.29,won
Q00211,2025-08-28,C0098,T10,Maintenance,186.83,lost
Q00212,2026-04-22,C0062,T10,Furnace Repair,682.93,won
Q00213,2026-06-30,C0128,T04,AC Repair,522.44,lost
Q00214,2026-06-16,C0112,T03,Maintenance,125.23,won
Q00215,2025-07-02,C0357,T02,Furnace Install,3277.06,won
Q00216,2025-10-14,C0076,T03,Diagnostic,129.32,lost
Q00217,2026-01-05,C0194,T07,Wiring Repair,661.66,lost
Q00218,2026-02-13,C0106,T03,Furnace Install,5379.58,won
Q00219,2026-06-06,C0251,T08,Furnace Install,8515.2,won
Q00220,2025-11-07,C0238,T07,AC Repair,229.3,lost
Q00221,2025-07-31,C0149,T09,Diagnostic,90.29,won
Q00222,2025-11-25,C0144,T05,Furnace Repair,272.07,lost
Q00223,2026-02-28,C0233,T10,AC Install,5587.06,lost
Q00224,2026-02-16,C0245,T05,Furnace Install,8595.65,won
Q00225,2026-03-03,C0069,T08,Furnace Install,3296.02,won
Q00226,2026-03-06,C0283,T04,Maintenance,155.77,open
Q00227,2025-08-26,C0268,T06,Electrical Panel Upgrade,2487.99,won
Q00228,2026-06-03,C0011,T07,Electrical Panel Upgrade,1970.01,open
Q00229,2025-08-24,C0130,T05,Furnace Install,7734.38,lost
Q00230,2026-06-08,C0271,T08,Furnace Repair,181.75,open
Q00231,2025-12-15,C0175,T10,Maintenance,89.19,won
Q00232,2025-08-25,C0129,T07,Electrical Panel Upgrade,3679.27,lost
Q00233,2025-10-11,C0290,T10,Maintenance,162.89,won
Q00234,2026-02-27,C0167,T04,Furnace Install,3456.5,won
Q00235,2026-02-27,C0171,T09,Furnace Install,5961.64,won
Q00236,2026-04-14,C0053,T02,AC Repair,432.58,won
Q00237,2026-01-27,C0240,T04,AC Repair,356.18,open
Q00238,2025-08-07,C0226,T09,AC Install,7810.59,won
Q00239,2025-10-18,C0050,T06,Furnace Install,3405.05,won
Q00240,2026-04-27,C0144,T02,Maintenance,173.24,open
Q00241,2025-10-16,C0122,T06,AC Install,7170.64,won
Q00242,2025-11-06,C0244,T01,Furnace Install,7058.38,won
Q00243,2026-06-02,C0419,T08,AC Repair,646.13,lost
Q00244,2025-12-17,C0258,T02,AC Install,6997.28,open
Q00245,2025-11-20,C0357,T07,AC Repair,324.48,won
Q00246,2026-02-17,C0379,T01,Furnace Repair,230.71,lost
Q00247,2025-07-11,C0089,T04,Electrical Panel Upgrade,4020.25,lost
Q00248,2025-07-24,C0108,T04,Furnace Repair,282.78,won
Q00249,2025-08-01,C0317,T04,Diagnostic,85.09,won
Q00250,2025-10-13,C0352,T05,Wiring Repair,502.28,lost
Q00251,2025-09-20,C0004,T07,Diagnostic,87.85,won
Q00252,2025-09-28,C0044,T02,Maintenance,189.14,won
Q00253,2025-09-17,C0223,T02,Maintenance,119.03,lost
Q00254,2025-11-14,C0081,T08,Wiring Repair,780.14,lost
Q00255,2026-06-04,C0218,T08,Furnace Install,4163.96,lost
Q00256,2026-02-13,C0134,T06,Electrical Panel Upgrade,3436.96,open
Q00257,2025-07-11,C0152,T07,Furnace Install,5302.95,won
Q00258,2025-08-16,C0028,T03,AC Install,4878.43,lost
Q00259,2025-08-27,C0333,T07,Diagnostic,118.55,lost
Q00260,2025-09-08,C0093,T09,AC Repair,419.51,won
Q00261,2025-09-03,C0261,T01,Furnace Install,8006.5,won
Q00262,2025-08-07,C0283,T09,Furnace Install,3667.98,won
Q00263,2025-08-17,C0171,T05,Electrical Panel Upgrade,3282.05,open
Q00264,2025-07-23,C0106,T08,Maintenance,107.3,lost
Q00265,2026-06-23,C0076,T09,AC Install,7249.04,won
Q00266,2026-05-21,C0236,T06,AC Install,4487.81,won
Q00267,2025-12-20,C0392,T01,AC Repair,155.76,won
Q00268,2026-06-06,C0043,T01,AC Repair,311.25,lost
Q00269,2026-05-23,C0353,T02,AC Install,4642.53,open
Q00270,2025-08-20,C0332,T09,Diagnostic,102.87,lost
Q00271,2026-05-06,C0181,T03,AC Repair,306.42,lost
Q00272,2026-03-16,C0134,T05,Electrical Panel Upgrade,2230.04,lost
Q00273,2025-09-14,C0252,T05,Diagnostic,114.17,lost
Q00274,2025-09-16,C0257,T05,Furnace Repair,503.26,won
Q00275,2026-01-11,C0260,T01,Diagnostic,107.6,won
Q00276,2026-05-03,C0339,T01,AC Repair,280.64,won
Q00277,2025-12-24,C0186,T02,Wiring Repair,706.73,won
Q00278,2025-09-15,C0289,T07,Maintenance,105.11,won
Q00279,2025-11-15,C0190,T06,Furnace Install,6903.41,won
Q00280,2025-09-26,C0283,T01,Maintenance,182.57,lost
Q00281,2025-07-28,C0124,T04,Maintenance,142.73,open
Q00282,2026-04-12,C0182,T10,Diagnostic,133.99,won
Q00283,2026-05-16,C0034,T03,Furnace Repair,211.57,lost
Q00284,2025-09-01,C0271,T05,Maintenance,105.28,lost
Q00285,2026-03-28,C0321,T05,AC Repair,516.64,open
Q00286,2026-05-26,C0243,T09,Furnace Repair,439.19,open
Q00287,2026-03-22,C0368,T07,Furnace Install,7477.58,won
Q00288,2025-08-02,C0125,T05,Maintenance,109.29,won
Q00289,2026-06-22,C0348,T10,Maintenance,127.66,won
Q00290,2026-04-19,C0153,T07,Electrical Panel Upgrade,2228.2,lost
Q00291,2026-01-31,C0370,T06,Furnace Repair,557.12,won
Q00292,2025-10-18,C0399,T05,AC Install,5011.1,won
Q00293,2025-07-21,C0324,T05,Maintenance,140.07,won
Q00294,2026-01-08,C0096,T01,Electrical Panel Upgrade,2888.85,lost
Q00295,2026-06-11,C0279,T06,Wiring Repair,678.23,won
Q00296,2025-07-12,C0194,T08,AC Install,5346.38,lost
Q00297,2025-11-26,C0375,T04,AC Repair,204.48,won
Q00298,2026-06-23,C0170,T05,Furnace Repair,557.26,won
Q00299,2026-05-09,C0020,T06,AC Repair,294.85,lost
Q00300,2025-11-27,C0111,T04,Furnace Install,4370.05,lost
Q00301,2025-12-29,C0132,T09,Furnace Install,6487.88,open
Q00302,2025-09-01,C0414,T04,Maintenance,107.53,won
Q00303,2025-08-18,C0239,T09,Diagnostic,129.09,lost
Q00304,2026-04-05,C0102,T10,AC Repair,270.55,won
Q00305,2026-06-13,C0111,T08,Furnace Install,3954.36,lost
Q00306,2025-10-24,C0018,T07,AC Repair,511.68,open
Q00307,2026-05-10,C0200,T06,Diagnostic,82.15,open
Q00308,2026-01-25,C0095,T01,AC Repair,254.35,won
Q00309,2025-07-16,C0399,T06,AC Install,5990.14,won
Q00310,2026-05-02,C0353,T04,AC Repair,338.65,won
Q00311,2026-06-25,C0374,T05,Diagnostic,96.27,open
Q00312,2025-08-31,C0318,T01,Maintenance,178.1,won
Q00313,2026-05-09,C0030,T03,Wiring Repair,253.38,lost
Q00314,2025-09-02,C0277,T02,Electrical Panel Upgrade,2589.06,lost
Q00315,2026-03-29,C0014,T06,Diagnostic,118.99,lost
Q00316,2026-01-25,C0418,T03,Furnace Install,7248.54,open
Q00317,2026-05-07,C0123,T02,Furnace Repair,414.67,won
Q00318,2026-01-31,C0131,T02,AC Install,9102.67,lost
Q00319,2025-11-28,C0275,T09,Furnace Repair,391.77,lost
Q00320,2026-01-04,C0122,T06,AC Repair,396.19,won
Q00321,2026-02-08,C0356,T09,AC Repair,197.99,lost
Q00322,2026-02-04,C0099,T01,AC Repair,587.41,won
Q00323,2025-10-13,C0204,T07,Wiring Repair,819.18,won
Q00324,2025-07-14,C0351,T03,Maintenance,148.69,won
Q00325,2025-10-17,C0394,T03,AC Install,4811.62,open
Q00326,2025-12-30,C0261,T07,AC Repair,425.15,won
Q00327,2025-08-25,C0218,T08,Diagnostic,132.23,lost
Q00328,2025-09-12,C0136,T09,Furnace Install,4826.24,open
Q00329,2025-08-29,C0284,T05,Furnace Install,3227.77,won
Q00330,2026-02-15,C0153,T06,Furnace Install,4529.58,open
Q00331,2026-04-08,C0024,T07,Furnace Repair,290.22,lost
Q00332,2026-05-11,C0053,T01,AC Install,7502.15,won
Q00333,2026-06-21,C0025,T10,AC Repair,403.7,open
Q00334,2026-04-24,C0147,T05,AC Install,6944.52,open
Q00335,2026-02-17,C0414,T10,Electrical Panel Upgrade,2247.12,lost
Q00336,2026-06-27,C0294,T10,Maintenance,194.86,open
Q00337,2026-06-02,C0329,T09,Electrical Panel Upgrade,3432.58,lost
Q00338,2026-06-12,C0268,T02,Diagnostic,97.17,won
Q00339,2026-01-04,C0128,T10,Maintenance,108.25,lost
Q00340,2025-11-28,C0159,T09,AC Repair,434.74,lost
Q00341,2025-10-08,C0056,T04,Furnace Repair,276.18,lost
Q00342,2025-10-23,C0398,T03,Electrical Panel Upgrade,4416.6,lost
Q00343,2026-04-13,C0319,T07,AC Repair,499.84,open
Q00344,2026-02-28,C0328,T07,Furnace Repair,241.21,lost
Q00345,2025-07-16,C0384,T03,Diagnostic,91.19,lost
Q00346,2025-10-25,C0344,T06,Furnace Install,6910.24,open
Q00347,2026-05-29,C0071,T09,Furnace Install,6880.65,lost
Q00348,2025-07-09,C0177,T01,Electrical Panel Upgrade,4392.06,open
Q00349,2025-08-30,C0313,T10,Furnace Repair,405.76,won
Q00350,2025-09-14,C0391,T10,Maintenance,135.99,lost
Q00351,2026-02-08,C0402,T02,Electrical Panel Upgrade,3286.66,lost
Q00352,2025-12-24,C0111,T02,Maintenance,90.96,won
Q00353,2026-02-04,C0393,T03,AC Install,4641.72,won
Q00354,2026-04-19,C0129,T02,Wiring Repair,790.32,lost
Q00355,2026-01-21,C0301,T04,Furnace Repair,594.07,won
Q00356,2026-03-18,C0016,T01,Electrical Panel Upgrade,4047.83,lost
Q00357,2025-10-23,C0342,T01,AC Repair,576.1,won
Q00358,2026-01-17,C0029,T02,Maintenance,104.3,open
Q00359,2026-01-15,C0042,T02,Furnace Install,6942.56,lost
Q00360,2025-12-19,C0034,T01,AC Repair,337.6,won
Q00361,2026-05-28,C0151,T02,Electrical Panel Upgrade,3500.63,won
Q00362,2025-12-12,C0209,T08,AC Repair,536.83,open
Q00363,2026-03-25,C0227,T10,Furnace Install,6795.61,lost
Q00364,2025-07-26,C0327,T04,Wiring Repair,395.86,won
Q00365,2026-03-11,C0307,T08,Diagnostic,96.11,won
Q00366,2026-02-15,C0391,T07,Furnace Repair,628.77,lost
Q00367,2026-05-02,C0010,T06,Furnace Repair,468.84,won
Q00368,2026-03-09,C0025,T07,Diagnostic,148.65,lost
Q00369,2026-05-05,C0012,T05,AC Install,5883.67,won
Q00370,2026-03-31,C0100,T02,Electrical Panel Upgrade,2335.79,lost
Q00371,2025-08-15,C0184,T06,Furnace Repair,551.76,won
Q00372,2025-12-24,C0240,T02,Maintenance,160.35,won
Q00373,2025-07-06,C0348,T03,Furnace Install,3769.28,lost
Q00374,2025-07-01,C0113,T02,Maintenance,187.29,won
Q00375,2026-03-20,C0240,T03,Wiring Repair,547.02,lost
Q00376,2025-12-24,C0098,T02,Maintenance,117.59,won
Q00377,2026-06-07,C0136,T05,Electrical Panel Upgrade,3399.9,lost
Q00378,2025-09-25,C0073,T01,Wiring Repair,804.89,won
Q00379,2025-07-23,C0142,T07,AC Install,5208.56,won
Q00380,2026-02-17,C0053,T05,Furnace Install,5430.81,won
Q00381,2025-09-11,C0342,T08,Diagnostic,113.5,open
Q00382,2025-08-08,C0328,T03,AC Repair,196.13,won
Q00383,2026-04-28,C0322,T02,Furnace Repair,280.56,won
Q00384,2026-01-31,C0280,T10,Furnace Repair,356.87,lost
Q00385,2026-06-17,C0389,T04,Diagnostic,106.95,lost
Q00386,2026-04-03,C0264,T02,Furnace Install,4192.41,lost
Q00387,2025-12-11,C0174,T01,Maintenance,118.99,lost
Q00388,2025-07-12,C0279,T10,Diagnostic,128.94,won
Q00389,2026-06-14,C0245,T08,AC Install,7700.67,won
Q00390,2026-03-12,C0266,T07,Furnace Install,7567.36,won
Q00391,2025-07-08,C0193,T01,Wiring Repair,578.43,won
Q00392,2025-09-26,C0323,T04,Furnace Repair,361.64,lost
Q00393,2025-08-14,C0008,T06,Maintenance,190.82,won
Q00394,2026-02-15,C0208,T05,AC Install,6916.59,lost
Q00395,2026-03-25,C0293,T02,Furnace Repair,252.15,lost
Q00396,2026-02-19,C0303,T09,AC Repair,417.13,lost
Q00397,2025-10-29,C0312,T10,Maintenance,159.98,lost
Q00398,2025-07-09,C0020,T03,Furnace Repair,622.45,lost
Q00399,2026-05-06,C0222,T09,Furnace Install,8660.05,lost
Q00400,2026-06-20,C0150,T09,Electrical Panel Upgrade,3550.6,lost
Q00401,2026-05-07,C0263,T10,Wiring Repair,587.48,won
Q00402,2025-08-13,C0232,T06,Electrical Panel Upgrade,3490.38,lost
Q00403,2025-07-19,C0183,T02,Diagnostic,144.27,won
Q00404,2026-04-05,C0200,T08,Maintenance,151.57,won
Q00405,2026-06-02,C0316,T01,Furnace Repair,415.04,won
Q00406,2025-08-09,C0254,T08,AC Install,7162.59,won
Q00407,2026-04-04,C0295,T10,Furnace Repair,655.97,won
Q00408,2025-09-17,C0265,T06,Furnace Repair,479.94,won
Q00409,2025-07-20,C0001,T09,Wiring Repair,479.02,won
Q00410,2026-05-17,C0027,T06,Furnace Install,7094.81,open
Q00411,2026-06-05,C0196,T07,Wiring Repair,709.38,won
Q00412,2026-02-19,C0345,T01,AC Repair,212.41,won
Q00413,2026-04-04,C0192,T06,Furnace Repair,319.53,won
Q00414,2026-03-26,C0304,T08,Maintenance,140.62,won
Q00415,2026-05-10,C0327,T03,Electrical Panel Upgrade,2465.89,open
Q00416,2026-06-15,C0114,T07,Electrical Panel Upgrade,4138.99,lost
Q00417,2026-04-20,C0208,T06,AC Install,4486.53,won
Q00418,2026-06-14,C0273,T03,Wiring Repair,733.05,lost
Q00419,2026-03-05,C0200,T06,Furnace Repair,267.19,lost
Q00420,2026-01-23,C0176,T04,Furnace Install,6166.55,lost
Q00421,2026-01-06,C0259,T04,AC Install,4137.26,lost
