invoice_id,job_id,customer_id,segment,invoice_date,paid_date,amount
INV00090,J00090,C0149,Residential,2025-10-17,2025-10-31,350.62
INV00091,J00091,C0287,Residential,2026-06-26,2026-07-06,7866.78
INV00092,J00092,C0161,Residential,2025-07-10,2025-07-19,118.18
INV00093,J00093,C0411,Residential,2025-07-11,2025-07-12,863.33
INV00094,J00094,C0302,Commercial,2025-08-24,2025-08-28,5442.52
INV00095,J00095,C0325,Property Management,2025-09-25,,4184.16
INV00096,J00096,C0053,Property Management,2026-05-27,2026-07-06,256.15
INV00097,J00097,C0387,Residential,2025-09-29,,117.28
INV00098,J00098,C0078,Property Management,2026-05-16,2026-06-23,507.83
INV00099,J00099,C0237,Commercial,2025-12-28,2026-01-06,6211.48
INV00100,J00100,C0298,Property Management,2025-08-16,2025-10-27,161.62
INV00101,J00101,C0310,Residential,2026-05-30,2026-06-04,5863.52
INV00102,J00102,C0331,Residential,2025-12-23,2025-12-23,4535.35
INV00103,J00103,C0145,Residential,2025-09-20,2025-09-27,471.19
INV00104,J00104,C0049,Residential,2025-12-19,2026-01-04,6847.78
INV00105,J00105,C0042,Residential,2026-05-05,2026-05-14,483.02
INV00106,J00106,C0363,Residential,2026-01-17,2026-01-26,667.76
INV00107,J00107,C0261,Commercial,2026-06-09,2026-06-20,5670.97
INV00108,J00108,C0071,Commercial,2026-03-06,2026-03-12,4067.69
INV00109,J00109,C0393,Property Management,2026-03-27,,805.21
INV00110,J00110,C0211,Residential,2025-09-23,2025-09-23,102.32
INV00111,J00111,C0123,Residential,2026-02-15,2026-02-20,4933.02
INV00112,J00112,C0394,Residential,2026-04-19,2026-05-01,96.13
INV00113,J00113,C0027,Property Management,2026-05-06,2026-07-14,513.41
INV00114,J00114,C0391,Property Management,2025-09-02,,2232.84
INV00115,J00115,C0014,Residential,2025-10-22,2025-11-05,106.12
INV00116,J00116,C0051,Residential,2025-10-23,2025-11-14,1062.23
INV00117,J00117,C0230,Property Management,2026-06-22,2026-08-19,499.98
INV00118,J00118,C0398,Residential,2026-05-08,,126.74
INV00119,J00119,C0256,Residential,2026-02-20,,7080.43
INV00120,J00120,C0181,Commercial,2026-02-05,2026-02-12,371.58
INV00121,J00121,C0241,Residential,2026-03-27,2026-03-28,225.44
INV00122,J00122,C0377,Residential,2025-11-01,,8040.07
INV00123,J00123,C0324,Residential,2026-06-16,2026-06-25,88.67
INV00124,J00124,C0022,Residential,2025-10-12,2025-10-13,354.32
INV00125,J00125,C0183,Property Management,2026-05-28,2026-07-22,8027.98
INV00126,J00126,C0198,Residential,2026-02-09,2026-02-21,133.41
INV00127,J00127,C0041,Residential,2025-11-14,2025-11-19,6083.64
INV00128,J00128,C0229,Residential,2025-12-15,2025-12-26,3427.08
INV00129,J00129,C0328,Property Management,2025-12-28,2026-02-16,217.38
INV00130,J00130,C0074,Property Management,2026-06-13,2026-08-29,621.31
INV00131,J00131,C0197,Property Management,2026-05-27,2026-06-26,864.63
INV00132,J00132,C0071,Commercial,2026-02-13,2026-02-24,6676.76
INV00133,J00133,C0199,Property Management,2025-10-04,2025-12-14,143.52
INV00134,J00134,C0103,Residential,2026-05-10,2026-05-18,2131.12
INV00135,J00135,C0364,Property Management,2025-08-14,2025-10-25,245.46
INV00136,J00136,C0261,Commercial,2026-06-24,2026-07-07,296.61
INV00137,J00137,C0412,Property Management,2026-01-01,2026-02-27,888.11
INV00138,J00138,C0295,Residential,2026-03-03,2026-03-13,98.66
INV00139,J00139,C0328,Property Management,2025-12-24,2026-02-02,485.65
INV00140,J00140,C0085,Commercial,2025-09-02,2025-09-02,264.22
INV00141,J00141,C0101,Residential,2025-11-23,2025-12-05,7310.34
INV00142,J00142,C0298,Property Management,2026-03-15,,260.18
INV00143,J00143,C0042,Residential,2026-04-15,,319.04
INV00144,J00144,C0322,Residential,2026-05-24,2026-06-03,781.32
INV00145,J00145,C0081,Residential,2026-02-18,2026-03-05,6137.63
INV00146,J00146,C0067,Property Management,2025-12-11,2026-02-04,732.47
INV00147,J00147,C0050,Property Management,2026-02-16,2026-04-24,3483.39
INV00148,J00148,C0370,Property Management,2025-09-20,2025-12-04,418.9
INV00149,J00149,C0047,Property Management,2025-12-05,2025-12-25,145.89
INV00150,J00150,C0306,Residential,2025-07-26,2025-08-10,4182.32
INV00151,J00151,C0373,Property Management,2026-02-06,2026-03-31,370.2
INV00152,J00152,C0198,Residential,2026-01-02,2026-01-07,3161.49
INV00153,J00153,C0202,Property Management,2025-08-30,2025-10-28,374.06
INV00154,J00154,C0021,Residential,2026-05-05,2026-05-06,94.93
INV00155,J00155,C0314,Property Management,2026-05-07,2026-06-23,345.64
INV00156,J00156,C0154,Residential,2026-03-17,2026-03-18,110.62
INV00157,J00157,C0243,Residential,2025-12-05,2025-12-09,530.68
INV00158,J00158,C0323,Commercial,2026-03-03,2026-03-11,555.02
INV00159,J00159,C0010,Property Management,2026-04-20,2026-07-01,6146.23
INV00160,J00160,C0362,Commercial,2026-05-10,2026-05-22,85.36
INV00161,J00161,C0273,Residential,2025-12-08,2025-12-14,358.01
INV00162,J00162,C0248,Residential,2026-06-20,2026-06-22,2319.11
INV00163,J00163,C0354,Residential,2025-11-30,,3703.47
INV00164,J00164,C0294,Commercial,2025-11-18,2025-11-26,3626.88
INV00165,J00165,C0148,Residential,2025-09-13,2025-09-19,4379.35
INV00166,J00166,C0139,Residential,2025-10-18,2025-10-30,8424.93
INV00167,J00167,C0116,Residential,2025-11-02,2025-11-07,286.18
INV00168,J00168,C0335,Property Management,2025-07-03,2025-08-20,666.22
INV00169,J00169,C0394,Residential,2025-12-12,2025-12-27,2041.54
INV00170,J00170,C0019,Commercial,2025-09-28,2025-10-04,219.63
INV00171,J00171,C0153,Residential,2025-11-26,2025-12-06,314.78
INV00172,J00172,C0240,Residential,2026-03-10,2026-03-14,321.88
INV00173,J00173,C0405,Residential,2025-10-04,2025-10-15,570.11
INV00174,J00174,C0206,Residential,2026-02-04,2026-02-13,668.48
INV00175,J00175,C0229,Residential,2025-11-11,,187.74
INV00176,J00176,C0032,Residential,2026-05-31,2026-06-05,667.45
INV00177,J00177,C0328,Property Management,2026-06-26,2026-08-06,4273.55
INV00178,J00178,C0192,Commercial,2025-09-17,2025-09-21,106.19
INV00179,J00179,C0404,Property Management,2025-10-20,2025-12-16,3658.47
INV00180,J00180,C0275,Residential,2025-08-01,2025-08-18,4039.17
INV00181,J00181,C0262,Property Management,2026-04-25,2026-06-16,108.41
INV00182,J00182,C0371,Residential,2026-04-13,2026-04-28,76.63
INV00183,J00183,C0278,Commercial,2026-02-02,2026-02-17,895.89
INV00184,J00184,C0393,Property Management,2026-01-26,2026-04-09,513.59
INV00185,J00185,C0042,Residential,2026-02-15,2026-02-15,178.44
INV00186,J00186,C0066,Residential,2025-09-30,2025-10-16,184.35
INV00187,J00187,C0195,Residential,2026-06-10,2026-06-19,196.86
INV00188,J00188,C0315,Property Management,2025-08-27,2025-10-23,1255.75
INV00189,J00189,C0380,Residential,2026-05-03,2026-05-13,244.72
INV00190,J00190,C0164,Residential,2025-11-26,,6433.86
INV00191,J00191,C0154,Residential,2026-06-04,2026-06-21,4740.86
INV00192,J00192,C0254,Residential,2026-06-13,2026-06-18,95.14
INV00193,J00193,C0077,Residential,2026-06-22,2026-06-29,128.29
INV00194,J00194,C0030,Commercial,2026-06-28,2026-06-30,472.44
INV00195,J00195,C0231,Residential,2025-10-13,2025-10-25,792.99
INV00196,J00196,C0097,Commercial,2026-06-10,,957.69
INV00197,J00197,C0098,Property Management,2025-12-03,2026-01-28,470.98
INV00198,J00198,C0283,Residential,2025-10-13,2025-10-18,131.13
INV00199,J00199,C0051,Residential,2026-01-01,2026-01-14,135.21
INV00200,J00200,C0289,Residential,2025-12-08,2025-12-18,202.2
INV00201,J00201,C0101,Residential,2026-01-30,2026-02-10,2690.64
INV00202,J00202,C0391,Property Management,2026-06-16,2026-07-28,775.11
INV00203,J00203,C0369,Residential,2025-12-28,2026-01-09,464.2
INV00204,J00204,C0419,Property Management,2026-03-26,2026-05-05,1019.1
INV00205,J00205,C0234,Residential,2025-07-05,2025-07-20,5289.92
INV00206,J00206,C0273,Residential,2026-03-07,,223.51
INV00207,J00207,C0055,Residential,2026-06-23,2026-07-05,209.26
INV00208,J00208,C0041,Residential,2025-12-29,2026-01-07,2807.24
INV00209,J00209,C0048,Residential,2026-06-16,2026-07-01,5931.67
INV00210,J00210,C0331,Residential,2025-08-12,2025-08-14,133.83
INV00211,J00211,C0355,Property Management,2025-07-22,2025-08-31,8170.3
INV00212,J00212,C0162,Property Management,2026-04-05,2026-06-13,147.58
INV00213,J00213,C0124,Residential,2025-12-01,2025-12-09,474.68
INV00214,J00214,C0382,Property Management,2025-09-10,2025-10-16,9345.94
INV00215,J00215,C0016,Residential,2026-05-11,2026-05-19,172.07
INV00216,J00216,C0349,Residential,2026-01-09,2026-01-29,165.75
INV00217,J00217,C0079,Residential,2025-08-07,2025-08-21,5780.0
INV00218,J00218,C0228,Residential,2025-08-16,2025-08-27,351.9
INV00219,J00219,C0046,Commercial,2026-01-25,2026-02-04,5623.49
INV00220,J00220,C0399,Property Management,2025-11-27,2026-01-11,100.1
INV00221,J00221,C0072,Residential,2025-09-25,2025-09-28,124.23
INV00222,J00222,C0185,Residential,2025-12-01,2025-12-09,93.88
INV00223,J00223,C0004,Commercial,2025-08-24,2025-09-08,673.39
INV00224,J00224,C0070,Residential,2025-12-19,2025-12-19,128.36
INV00225,J00225,C0377,Residential,2026-01-20,2026-01-29,686.47
INV00226,J00226,C0289,Residential,2026-01-18,2026-01-18,339.86
INV00227,J00227,C0409,Residential,2026-02-22,2026-03-05,4831.45
INV00228,J00228,C0124,Residential,2026-03-13,2026-03-20,311.39
INV00229,J00229,C0206,Residential,2026-05-03,2026-05-08,115.08
INV00230,J00230,C0394,Residential,2026-01-01,2026-01-13,4989.39
INV00231,J00231,C0408,Property Management,2026-05-27,2026-07-20,145.39
INV00232,J00232,C0192,Commercial,2026-04-24,2026-05-11,5390.35
INV00233,J00233,C0152,Residential,2025-07-13,2025-07-31,106.2
INV00234,J00234,C0402,Commercial,2025-12-07,2025-12-14,344.81
INV00235,J00235,C0023,Commercial,2025-12-11,,8361.12
INV00236,J00236,C0090,Property Management,2025-09-23,2025-12-02,6290.7
INV00237,J00237,C0328,Property Management,2026-05-19,2026-07-01,521.8
INV00238,J00238,C0361,Commercial,2026-02-05,2026-02-18,117.14
INV00239,J00239,C0167,Property Management,2026-04-01,2026-06-15,282.48
INV00240,J00240,C0201,Property Management,2025-12-08,2026-02-24,165.9
INV00241,J00241,C0303,Property Management,2026-06-27,2026-08-27,2028.83
INV00242,J00242,C0199,Property Management,2026-06-21,2026-08-23,397.48
INV00243,J00243,C0086,Property Management,2026-06-21,2026-08-21,434.61
INV00244,J00244,C0070,Residential,2025-12-31,2026-01-04,323.39
INV00245,J00245,C0086,Property Management,2026-06-29,2026-08-22,81.2
INV00246,J00246,C0400,Residential,2026-04-02,2026-04-14,3034.77
INV00247,J00247,C0188,Residential,2025-08-28,2025-08-28,3263.52
INV00248,J00248,C0153,Residential,2026-02-03,2026-02-03,8748.86
INV00249,J00249,C0416,Property Management,2025-08-30,2025-11-29,7330.63
INV00250,J00250,C0417,Residential,2026-05-12,2026-05-19,287.61
INV00251,J00251,C0294,Commercial,2025-12-13,2025-12-25,2521.83
INV00252,J00252,C0336,Property Management,2026-01-27,2026-03-19,494.93
INV00253,J00253,C0073,Residential,2026-06-12,2026-06-22,164.64
INV00254,J00254,C0384,Residential,2025-08-17,2025-08-23,125.45
INV00255,J00255,C0326,Commercial,2025-07-02,2025-07-10,7484.86
INV00256,J00256,C0138,Commercial,2026-02-05,2026-02-18,5008.04
INV00257,J00257,C0051,Residential,2025-12-23,2026-01-11,1045.23
INV00258,J00258,C0333,Residential,2026-02-05,2026-02-25,4890.45
INV00259,J00259,C0027,Property Management,2025-08-12,2025-10-15,477.44
INV00260,J00260,C0110,Residential,2026-06-26,,6360.84
INV00261,J00261,C0217,Residential,2026-06-22,2026-06-26,685.82
INV00262,J00262,C0154,Residential,2025-08-22,2025-08-30,295.99
INV00263,J00263,C0289,Residential,2025-09-12,2025-09-25,3550.85
INV00264,J00264,C0352,Residential,2025-09-16,,146.95
INV00265,J00265,C0162,Property Management,2026-01-13,2026-03-23,753.75
INV00266,J00266,C0338,Residential,2026-05-08,2026-05-08,4164.73
INV00267,J00267,C0254,Residential,2026-05-27,2026-05-29,345.09
INV00268,J00268,C0199,Property Management,2026-01-01,2026-03-14,802.57
INV00269,J00269,C0035,Residential,2025-08-07,2025-08-14,149.53
INV00270,J00270,C0360,Residential,2026-06-30,2026-06-30,141.7
INV00271,J00271,C0275,Residential,2025-08-10,2025-08-15,5029.8
INV00272,J00272,C0030,Commercial,2025-12-06,2025-12-20,121.03
INV00273,J00273,C0007,Residential,2026-06-07,2026-06-17,548.11
INV00274,J00274,C0065,Property Management,2025-11-10,2025-12-23,569.88
INV00275,J00275,C0269,Residential,2025-12-19,2025-12-19,97.37
INV00276,J00276,C0291,Residential,2026-01-01,2026-01-01,193.84
INV00277,J00277,C0007,Residential,2026-03-18,2026-03-22,405.88
INV00278,J00278,C0165,Commercial,2026-04-10,2026-04-23,121.52
INV00279,J00279,C0115,Property Management,2025-08-31,2025-11-12,1414.09
INV00280,J00280,C0284,Commercial,2025-12-07,2025-12-12,519.72
INV00281,J00281,C0303,Property Management,2025-11-02,2026-01-05,147.89
INV00282,J00282,C0210,Residential,2025-11-03,,192.43
INV00283,J00283,C0378,Residential,2025-12-19,2025-12-24,368.92
INV00284,J00284,C0023,Commercial,2025-09-11,2025-09-24,4287.44
INV00285,J00285,C0069,Residential,2025-08-13,2025-08-13,7323.29
INV00286,J00286,C0134,Property Management,2025-09-05,2025-10-14,7965.12
INV00287,J00287,C0039,Property Management,2026-02-17,2026-04-10,4347.6
INV00288,J00288,C0209,Residential,2026-02-16,2026-02-27,84.06
INV00289,J00289,C0414,Commercial,2025-08-31,2025-09-04,7616.33
INV00290,J00290,C0365,Residential,2025-12-15,2025-12-20,309.07
INV00291,J00291,C0232,Residential,2025-09-28,2025-09-28,708.41
INV00292,J00292,C0102,Property Management,2025-08-01,2025-10-12,7812.57
INV00293,J00293,C0034,Property Management,2025-11-10,2026-01-05,4686.5
INV00294,J00294,C0237,Commercial,2025-12-17,2026-01-01,3803.83
INV00295,J00295,C0182,Residential,2026-01-12,2026-01-14,117.13
INV00296,J00296,C0256,Residential,2026-05-14,2026-05-30,5507.16
INV00297,J00297,C0407,Residential,2025-10-11,2025-10-11,3309.37
INV00298,J00298,C0139,Residential,2025-12-24,2026-01-11,325.87
INV00299,J00299,C0184,Residential,2025-07-30,2025-08-16,132.51
INV00300,J00300,C0295,Residential,2025-11-14,2025-11-20,1246.55
INV00301,J00301,C0303,Property Management,2026-04-30,2026-07-22,219.74
INV00302,J00302,C0159,Residential,2025-10-05,2025-10-05,88.17
INV00303,J00303,C0315,Property Management,2026-03-02,2026-04-20,194.07
INV00304,J00304,C0361,Commercial,2025-07-12,,656.96
INV00305,J00305,C0052,Property Management,2026-01-08,2026-02-22,133.09
INV00306,J00306,C0090,Property Management,2026-05-24,2026-07-13,128.04
INV00307,J00307,C0158,Residential,2026-06-06,,561.68
INV00308,J00308,C0017,Residential,2026-04-20,2026-04-26,112.85
INV00309,J00309,C0170,Property Management,2025-08-23,2025-10-14,130.9
INV00310,J00310,C0006,Residential,2025-08-15,2025-08-21,385.65
INV00311,J00311,C0225,Residential,2025-07-01,2025-07-12,1308.86
INV00312,J00312,C0334,Residential,2025-08-21,2025-08-28,131.87
INV00313,J00313,C0054,Residential,2025-07-11,2025-07-17,251.94
INV00314,J00314,C0315,Property Management,2025-08-17,2025-10-08,825.26
INV00315,J00315,C0052,Property Management,2026-02-08,2026-04-11,352.17
INV00316,J00316,C0153,Residential,2026-04-03,2026-04-16,2441.38
INV00317,J00317,C0045,Residential,2026-01-01,2026-01-15,561.92
INV00318,J00318,C0060,Residential,2025-11-27,2025-12-02,5350.12
INV00319,J00319,C0190,Residential,2026-04-05,2026-04-13,205.0
INV00320,J00320,C0032,Residential,2025-10-24,2025-11-13,2208.05
INV00321,J00321,C0032,Residential,2026-01-28,2026-02-12,7908.46
INV00322,J00322,C0154,Residential,2026-03-01,2026-03-12,3642.15
INV00323,J00323,C0388,Property Management,2026-04-19,,413.5
INV00324,J00324,C0350,Commercial,2025-07-22,2025-07-22,146.04
INV00325,J00325,C0285,Property Management,2025-08-04,2025-10-06,5884.13
INV00326,J00326,C0213,Residential,2026-06-24,2026-06-24,108.6
INV00327,J00327,C0275,Residential,2025-08-24,2025-08-26,8780.81
INV00328,J00328,C0142,Residential,2026-02-28,2026-03-11,632.08
INV00329,J00329,C0382,Property Management,2026-06-19,2026-08-08,5861.22
INV00330,J00330,C0357,Commercial,2025-12-07,2025-12-19,3649.1
INV00331,J00331,C0310,Residential,2025-12-12,,3543.0
INV00332,J00332,C0264,Residential,2026-03-22,2026-03-26,754.04
INV00333,J00333,C0099,Residential,2026-03-26,2026-03-31,541.48
INV00334,J00334,C0238,Residential,2025-10-10,2025-10-10,3163.84
INV00335,J00335,C0243,Residential,2026-05-01,2026-05-22,119.02
INV00336,J00336,C0015,Residential,2026-06-18,2026-07-02,5819.39
INV00337,J00337,C0138,Commercial,2026-05-28,,6848.89
INV00338,J00338,C0308,Residential,2026-02-28,2026-03-07,596.45
INV00339,J00339,C0193,Residential,2026-06-29,2026-07-10,4099.28
INV00340,J00340,C0053,Property Management,2026-05-16,2026-07-02,89.96
INV00341,J00341,C0351,Residential,2026-05-01,2026-05-06,2091.88
INV00342,J00342,C0077,Residential,2025-11-11,2025-11-28,3196.69
INV00343,J00343,C0370,Property Management,2026-01-23,2026-03-31,217.82
INV00344,J00344,C0372,Residential,2025-07-19,2025-07-28,7194.87
INV00345,J00345,C0337,Residential,2025-12-31,2026-01-18,4166.54
INV00346,J00346,C0336,Property Management,2026-04-13,2026-06-30,226.44
INV00347,J00347,C0300,Residential,2025-12-17,2025-12-24,405.84
INV00348,J00348,C0100,Residential,2026-05-14,2026-05-21,6502.86
INV00349,J00349,C0176,Residential,2025-09-16,2025-09-26,392.78
INV00350,J00350,C0171,Property Management,2025-10-01,2025-12-04,7286.2
INV00351,J00351,C0403,Residential,2025-09-25,2025-10-09,577.06
INV00352,J00352,C0020,Residential,2026-03-02,2026-03-19,158.93
INV00353,J00353,C0347,Residential,2026-03-29,2026-04-03,3223.09
INV00354,J00354,C0302,Commercial,2025-08-22,2025-08-28,129.1
INV00355,J00355,C0352,Residential,2026-03-24,2026-04-03,896.83
INV00356,J00356,C0115,Property Management,2026-01-23,2026-03-05,398.3
INV00357,J00357,C0328,Property Management,2026-05-30,2026-07-04,451.01
INV00358,J00358,C0214,Residential,2025-07-11,2025-07-30,282.67
INV00359,J00359,C0339,Commercial,2025-07-05,2025-07-14,2072.65
INV00360,J00360,C0059,Residential,2025-08-23,2025-09-04,8208.56
INV00361,J00361,C0152,Residential,2025-10-12,2025-10-12,312.26
INV00362,J00362,C0344,Residential,2025-10-29,2025-11-10,142.36
INV00363,J00363,C0330,Residential,2025-08-08,2025-08-16,4886.96
INV00364,J00364,C0185,Residential,2025-09-28,2025-10-06,637.1
INV00365,J00365,C0184,Residential,2025-09-09,2025-09-13,645.15
INV00366,J00366,C0206,Residential,2025-12-23,2025-12-23,388.13
INV00367,J00367,C0068,Residential,2026-02-01,2026-02-10,542.01
INV00368,J00368,C0348,Commercial,2026-04-29,2026-05-12,107.86
INV00369,J00369,C0058,Property Management,2025-09-05,2025-11-15,141.57
INV00370,J00370,C0266,Residential,2026-06-13,,6129.38
INV00371,J00371,C0286,Residential,2025-12-25,2026-01-04,205.86
INV00372,J00372,C0039,Property Management,2026-02-26,2026-04-21,131.36
INV00373,J00373,C0419,Property Management,2026-04-08,2026-06-03,119.78
INV00374,J00374,C0255,Property Management,2026-02-14,2026-04-02,721.67
INV00375,J00375,C0288,Residential,2025-08-16,2025-08-28,2358.5
INV00376,J00376,C0287,Residential,2025-10-23,2025-10-27,132.56
INV00377,J00377,C0175,Residential,2025-08-19,2025-08-29,5188.78
INV00378,J00378,C0253,Property Management,2025-08-24,2025-10-23,441.64
INV00379,J00379,C0401,Residential,2026-01-18,2026-01-31,4267.24
INV00380,J00380,C0235,Residential,2026-06-10,2026-06-18,7450.74
INV00381,J00381,C0248,Residential,2025-07-25,2025-07-31,210.09
INV00382,J00382,C0337,Residential,2025-09-04,2025-09-10,7103.28
INV00383,J00383,C0204,Residential,2026-06-20,2026-06-23,8596.12
INV00384,J00384,C0161,Residential,2026-06-24,2026-06-24,3722.06
INV00385,J00385,C0364,Property Management,2025-11-26,2026-01-17,655.06
INV00386,J00386,C0246,Residential,2025-08-29,2025-09-18,607.96
INV00387,J00387,C0414,Commercial,2026-03-31,2026-04-04,1834.48
INV00388,J00388,C0350,Commercial,2025-11-14,2025-12-01,310.29
INV00389,J00389,C0053,Property Management,2025-07-17,2025-09-20,631.28
INV00390,J00390,C0402,Commercial,2026-01-16,2026-01-24,7662.27
INV00391,J00391,C0028,Property Management,2026-01-30,2026-04-27,209.08
INV00392,J00392,C0280,Residential,2025-10-24,2025-10-29,716.92
INV00393,J00393,C0089,Property Management,2026-06-15,2026-08-09,7910.48
INV00394,J00394,C0170,Property Management,2025-09-21,2025-11-02,3059.09
