job_id,date,customer_id,tech_id,job_type,revenue,labor_hours,labor_cost,material_cost,is_callback,parent_job_id
J00038,2025-11-25,C0019,T09,Maintenance,148.58,3.2,36.92,43.69,0,
J00039,2026-03-21,C0237,T09,AC Repair,318.79,3.5,99.93,71.75,0,
J00040,2025-10-13,C0068,T09,Electrical Panel Upgrade,4304.72,4.1,1311.81,535.01,0,
J00041,2026-05-08,C0160,T03,Furnace Install,6284.7,4.9,3573.74,5015.59,0,
J00042,2026-02-22,C0256,T03,AC Install,9095.92,3.0,2781.64,1665.45,0,
J00043,2026-02-27,C0283,T08,Furnace Install,4010.0,2.3,2686.2,2953.65,0,
J00044,2025-08-05,C0175,T07,Electrical Panel Upgrade,4322.47,4.6,1396.51,676.76,0,
J00045,2026-04-27,C0229,T03,Diagnostic,115.39,3.4,32.63,24.08,0,
J00046,2025-12-12,C0293,T04,Furnace Install,5344.64,7.0,3378.64,3364.68,0,
J00047,2026-01-12,C0254,T03,Maintenance,215.39,1.9,74.27,35.84,0,
J00048,2026-02-11,C0234,T09,AC Install,3592.09,2.0,1187.69,1056.04,0,
J00049,2025-11-13,C0355,T10,Wiring Repair,478.24,1.6,119.22,112.32,0,
J00050,2025-12-10,C0019,T09,Diagnostic,121.31,2.6,36.72,19.1,0,
J00051,2025-08-16,C0390,T02,Maintenance,172.02,7.1,45.85,41.08,0,
J00052,2025-07-24,C0151,T01,Wiring Repair,450.92,4.0,106.7,82.25,0,
J00053,2025-10-01,C0041,T03,Furnace Repair,496.94,3.7,150.31,99.16,0,
J00054,2025-10-27,C0236,T05,Diagnostic,94.15,1.1,30.19,26.38,0,
J00055,2025-09-19,C0177,T08,AC Install,9425.91,3.1,3245.38,2243.96,0,
J00056,2025-12-02,C0248,T07,Furnace Install,3797.26,3.7,2361.1,2369.37,0,
J00057,2025-07-12,C0005,T05,Maintenance,163.14,5.8,50.85,17.91,0,
J00058,2026-03-12,C0311,T04,Electrical Panel Upgrade,3965.22,2.5,906.13,595.28,0,
J00059,2026-06-03,C0322,T02,Furnace Repair,516.1,3.2,137.35,111.43,0,
J00060,2025-08-16,C0383,T06,Electrical Panel Upgrade,2921.86,2.4,929.08,804.36,0,
J00061,2026-03-14,C0132,T03,Electrical Panel Upgrade,4267.93,7.6,1472.9,678.72,0,
J00062,2025-08-28,C0073,T02,Diagnostic,131.56,2.6,39.66,30.9,0,
J00063,2026-04-12,C0405,T02,Wiring Repair,476.2,2.9,104.07,82.72,0,
J00064,2025-11-12,C0056,T06,Maintenance,177.4,4.3,51.97,51.2,0,
J00065,2026-05-09,C0326,T02,Furnace Install,7813.59,7.4,4769.71,5095.04,0,
J00066,2025-07-20,C0060,T08,Electrical Panel Upgrade,2062.42,7.2,454.45,393.36,0,
J00067,2026-06-22,C0381,T10,Maintenance,184.18,7.2,54.93,49.13,0,
J00068,2025-11-21,C0112,T06,AC Repair,927.8,7.0,199.39,220.02,0,
J00069,2026-05-27,C0204,T01,Wiring Repair,393.12,7.8,134.58,104.11,0,
J00070,2025-10-17,C0403,T01,AC Repair,816.13,6.5,188.35,217.06,0,
J00071,2026-04-27,C0169,T04,Furnace Install,7536.46,6.5,5043.37,4667.47,0,
J00072,2025-09-05,C0057,T03,Electrical Panel Upgrade,3584.86,1.2,724.96,924.88,0,
J00073,2025-12-13,C0136,T03,AC Repair,362.55,4.7,113.06,70.79,0,
J00074,2026-03-20,C0258,T08,AC Install,4829.3,5.3,1492.67,1360.66,0,
J00075,2025-12-02,C0032,T01,Diagnostic,149.89,6.9,39.56,18.23,0,
J00076,2026-02-13,C0165,T02,AC Install,7149.78,1.5,1724.9,1620.25,0,
J00077,2025-12-14,C0272,T10,Maintenance,127.63,4.5,33.76,33.01,0,
J00078,2026-06-01,C0232,T07,Furnace Install,8173.31,3.9,5847.87,5310.06,0,
J00079,2025-12-08,C0341,T06,Maintenance,122.39,7.7,37.09,23.85,0,
J00080,2025-08-13,C0050,T07,AC Install,7967.53,3.6,1749.01,892.33,0,
J00081,2026-04-14,C0211,T02,Wiring Repair,447.52,5.7,139.87,122.45,0,
J00082,2025-11-25,C0054,T06,Electrical Panel Upgrade,3360.38,2.5,1003.11,486.75,0,
J00083,2026-04-11,C0391,T02,Wiring Repair,395.0,2.6,104.42,83.82,0,
J00084,2026-05-15,C0337,T10,AC Repair,599.54,2.3,183.1,97.0,0,
J00085,2025-07-04,C0290,T03,Furnace Repair,521.82,1.5,162.36,153.6,0,
J00086,2026-03-29,C0215,T07,Furnace Install,5740.42,2.1,3515.01,3622.75,0,
J00087,2026-05-02,C0080,T01,AC Install,4444.46,5.3,1338.21,686.32,0,
J00088,2026-03-06,C0140,T07,Diagnostic,91.17,4.6,22.95,11.14,0,
J00089,2026-04-30,C0342,T09,Diagnostic,98.13,2.5,34.12,10.89,0,
J00090,2025-10-17,C0149,T05,Furnace Repair,350.62,1.1,109.41,47.38,0,
J00091,2026-06-26,C0287,T09,Furnace Install,7866.78,6.6,4440.13,6021.56,1,
J00092,2025-07-10,C0161,T02,Diagnostic,118.18,5.0,36.21,21.69,0,
J00093,2025-07-11,C0411,T03,Wiring Repair,863.33,4.2,261.97,148.81,0,
J00094,2025-08-24,C0302,T07,Furnace Install,5442.52,1.6,3940.95,4008.15,0,
J00095,2025-09-25,C0325,T09,AC Install,4184.16,4.6,1405.41,710.78,0,
J00096,2026-05-27,C0053,T04,Furnace Repair,256.15,2.4,74.38,64.56,0,
J00097,2025-09-29,C0387,T08,Diagnostic,117.28,5.1,35.44,32.42,0,
J00098,2026-05-16,C0078,T06,Wiring Repair,507.83,4.3,149.66,131.66,0,
J00099,2025-12-28,C0237,T05,AC Install,6211.48,1.4,2017.21,716.47,0,
J00100,2025-08-16,C0298,T08,Maintenance,161.62,6.5,54.04,30.7,0,
J00101,2026-05-30,C0310,T06,Furnace Install,5863.52,2.1,3297.5,3376.66,0,
J00102,2025-12-23,C0331,T09,AC Install,4535.35,2.7,1204.88,852.12,0,
J00103,2025-09-20,C0145,T06,Wiring Repair,471.19,6.4,142.22,52.05,0,
J00104,2025-12-19,C0049,T06,AC Install,6847.78,3.7,1628.4,1851.05,0,
J00105,2026-05-05,C0042,T06,Furnace Repair,483.02,2.0,121.95,141.79,0,
J00106,2026-01-17,C0363,T10,Furnace Repair,667.76,3.2,171.28,172.5,0,
J00107,2026-06-09,C0261,T07,AC Install,5670.97,3.5,1287.53,810.03,0,
J00108,2026-03-06,C0071,T04,Furnace Install,4067.69,3.1,2878.4,2753.51,0,
J00109,2026-03-27,C0393,T06,AC Repair,805.21,2.1,182.89,192.1,0,
J00110,2025-09-23,C0211,T01,Diagnostic,102.32,6.0,35.35,22.73,0,
J00111,2026-02-15,C0123,T09,Furnace Install,4933.02,6.7,3175.89,3743.07,0,
J00112,2026-04-19,C0394,T08,Diagnostic,96.13,3.7,26.83,28.19,0,
J00113,2026-05-06,C0027,T05,Furnace Repair,513.41,7.1,145.39,61.88,0,
J00114,2025-09-02,C0391,T02,Electrical Panel Upgrade,2232.84,4.1,618.5,594.4,0,
J00115,2025-10-22,C0014,T06,Diagnostic,106.12,3.8,27.18,18.81,0,
J00116,2025-10-23,C0051,T06,AC Repair,1062.23,6.5,234.37,167.17,0,
J00117,2026-06-22,C0230,T08,Furnace Repair,499.98,7.3,101.42,71.56,0,
J00118,2026-05-08,C0398,T02,Maintenance,126.74,3.1,26.26,23.32,0,
J00119,2026-02-20,C0256,T02,AC Install,7080.43,1.1,1963.45,1050.65,0,
J00120,2026-02-05,C0181,T10,AC Repair,371.58,5.7,79.09,109.59,0,
J00121,2026-03-27,C0241,T07,AC Repair,225.44,3.6,70.36,38.64,0,
J00122,2025-11-01,C0377,T10,AC Install,8040.07,1.9,2032.89,1348.4,0,
J00123,2026-06-16,C0324,T08,Diagnostic,88.67,1.9,27.26,25.6,1,
J00124,2025-10-12,C0022,T04,AC Repair,354.32,3.8,114.2,68.98,1,
J00125,2026-05-28,C0183,T05,Furnace Install,8027.98,1.3,5468.23,4963.73,0,
J00126,2026-02-09,C0198,T08,Maintenance,133.41,2.3,40.53,23.14,0,
J00127,2025-11-14,C0041,T07,AC Install,6083.64,8.0,1381.4,965.8,0,
J00128,2025-12-15,C0229,T05,Electrical Panel Upgrade,3427.08,4.0,1040.0,583.66,1,
J00129,2025-12-28,C0328,T05,Maintenance,217.38,7.6,45.92,49.46,0,
J00130,2026-06-13,C0074,T01,Furnace Repair,621.31,5.7,165.1,77.82,0,
J00131,2026-05-27,C0197,T06,Wiring Repair,864.63,1.2,192.83,164.27,0,
J00132,2026-02-13,C0071,T10,AC Install,6676.76,3.8,1985.9,1001.0,0,
J00133,2025-10-04,C0199,T09,Diagnostic,143.52,1.8,45.39,34.56,0,
J00134,2026-05-10,C0103,T08,Electrical Panel Upgrade,2131.12,7.0,570.73,596.15,0,
J00135,2025-08-14,C0364,T06,Wiring Repair,245.46,4.8,81.91,66.34,0,
J00136,2026-06-24,C0261,T06,Furnace Repair,296.61,7.9,94.56,43.7,0,
J00137,2026-01-01,C0412,T08,Wiring Repair,888.11,1.9,295.42,100.49,0,
J00138,2026-03-03,C0295,T07,Maintenance,98.66,7.8,29.24,18.75,0,
J00139,2025-12-24,C0328,T09,Furnace Repair,485.65,6.4,106.53,97.41,0,
J00140,2025-09-02,C0085,T05,Furnace Repair,264.22,7.5,61.78,76.49,0,
J00141,2025-11-23,C0101,T05,AC Install,7310.34,4.9,1599.32,1173.78,0,
J00142,2026-03-15,C0298,T10,Furnace Repair,260.18,5.6,80.16,57.51,0,
J00143,2026-04-15,C0042,T01,AC Repair,319.04,5.0,94.97,80.84,0,
J00144,2026-05-24,C0322,T08,AC Repair,781.32,3.1,184.96,204.29,0,
J00145,2026-02-18,C0081,T01,AC Install,6137.63,4.4,1415.36,1358.45,0,
J00146,2025-12-11,C0067,T07,Wiring Repair,732.47,4.6,158.16,108.66,0,
J00147,2026-02-16,C0050,T03,Furnace Install,3483.39,7.6,2517.91,2280.0,0,
J00148,2025-09-20,C0370,T10,Wiring Repair,418.9,6.3,115.09,85.01,0,
J00149,2025-12-05,C0047,T01,Diagnostic,145.89,4.5,50.33,20.87,0,
J00150,2025-07-26,C0306,T08,Electrical Panel Upgrade,4182.32,5.6,1131.68,867.15,0,
J00151,2026-02-06,C0373,T05,Furnace Repair,370.2,3.8,76.55,40.81,0,
J00152,2026-01-02,C0198,T02,Electrical Panel Upgrade,3161.49,6.4,764.95,941.55,0,
J00153,2025-08-30,C0202,T02,Furnace Repair,374.06,7.9,106.11,64.76,0,
J00154,2026-05-05,C0021,T09,Maintenance,94.93,2.0,23.73,18.49,0,
J00155,2026-05-07,C0314,T06,Furnace Repair,345.64,3.8,101.09,92.81,0,
J00156,2026-03-17,C0154,T10,Diagnostic,110.62,1.1,27.62,13.49,0,
J00157,2025-12-05,C0243,T10,AC Repair,530.68,7.8,152.18,77.22,1,
J00158,2026-03-03,C0323,T09,Furnace Repair,555.02,6.4,142.65,146.71,0,
J00159,2026-04-20,C0010,T04,AC Install,6146.23,3.9,1609.97,865.26,0,
J00160,2026-05-10,C0362,T01,Diagnostic,85.36,2.5,21.23,19.84,0,
J00161,2025-12-08,C0273,T08,Furnace Repair,358.01,3.5,113.06,87.42,0,
J00162,2026-06-20,C0248,T10,Electrical Panel Upgrade,2319.11,2.7,657.96,336.21,0,
J00163,2025-11-30,C0354,T04,Electrical Panel Upgrade,3703.47,3.2,934.46,1061.93,0,
J00164,2025-11-18,C0294,T02,Electrical Panel Upgrade,3626.88,3.7,1258.61,956.32,0,
J00165,2025-09-13,C0148,T01,Electrical Panel Upgrade,4379.35,1.6,1482.85,1012.48,0,
J00166,2025-10-18,C0139,T09,Furnace Install,8424.93,5.9,4865.02,5930.47,0,
J00167,2025-11-02,C0116,T09,AC Repair,286.18,3.9,88.03,34.37,0,
J00168,2025-07-03,C0335,T07,Furnace Repair,666.22,7.1,180.96,93.2,0,
J00169,2025-12-12,C0394,T01,Electrical Panel Upgrade,2041.54,5.0,572.19,499.41,0,
J00170,2025-09-28,C0019,T03,Maintenance,219.63,3.8,60.25,63.1,0,
J00171,2025-11-26,C0153,T01,AC Repair,314.78,7.9,76.39,93.75,0,
J00172,2026-03-10,C0240,T09,Furnace Repair,321.88,6.7,80.34,79.25,0,
J00173,2025-10-04,C0405,T06,AC Repair,570.11,2.4,166.27,129.84,0,
J00174,2026-02-04,C0206,T02,Wiring Repair,668.48,2.3,147.8,110.11,0,
J00175,2025-11-11,C0229,T04,Maintenance,187.74,7.7,46.05,45.92,1,
J00176,2026-05-31,C0032,T04,Wiring Repair,667.45,4.3,149.48,158.33,0,
J00177,2026-06-26,C0328,T02,Electrical Panel Upgrade,4273.55,3.1,1248.71,614.65,0,
J00178,2025-09-17,C0192,T10,Diagnostic,106.19,4.8,28.74,22.03,0,
J00179,2025-10-20,C0404,T10,Furnace Install,3658.47,4.1,2527.1,2083.59,0,
J00180,2025-08-01,C0275,T10,Furnace Install,4039.17,3.3,2641.9,2338.92,0,
J00181,2026-04-25,C0262,T02,Diagnostic,108.41,1.4,23.83,19.85,0,
J00182,2026-04-13,C0371,T05,Diagnostic,76.63,2.8,15.36,11.0,0,
J00183,2026-02-02,C0278,T02,Wiring Repair,895.89,7.5,188.45,256.9,1,
J00184,2026-01-26,C0393,T03,Furnace Repair,513.59,6.1,176.97,89.82,0,
J00185,2026-02-15,C0042,T07,Maintenance,178.44,5.6,50.12,41.17,0,
J00186,2025-09-30,C0066,T09,Maintenance,184.35,2.6,36.97,19.27,0,
J00187,2026-06-10,C0195,T09,Maintenance,196.86,2.7,49.59,30.54,0,
J00188,2025-08-27,C0315,T07,AC Repair,1255.75,1.1,289.97,150.92,1,
J00189,2026-05-03,C0380,T04,AC Repair,244.72,4.8,76.64,62.46,1,
J00190,2025-11-26,C0164,T10,Furnace Install,6433.86,6.4,4591.69,3919.67,0,
J00191,2026-06-04,C0154,T07,Furnace Install,4740.86,4.9,3168.48,3478.86,0,
J00192,2026-06-13,C0254,T09,Maintenance,95.14,3.4,28.21,16.77,0,
J00193,2026-06-22,C0077,T07,Maintenance,128.29,2.3,36.01,19.01,0,
J00194,2026-06-28,C0030,T08,Furnace Repair,472.44,7.8,133.98,59.91,0,
J00195,2025-10-13,C0231,T02,Wiring Repair,792.99,1.6,244.79,109.51,0,
J00196,2026-06-10,C0097,T02,AC Repair,957.69,5.7,222.71,135.78,0,
J00197,2025-12-03,C0098,T04,AC Repair,470.98,8.0,128.03,69.95,0,
J00198,2025-10-13,C0283,T04,Maintenance,131.13,3.0,35.4,30.13,0,
J00199,2026-01-01,C0051,T08,Diagnostic,135.21,6.1,42.49,22.18,0,
J00200,2025-12-08,C0289,T01,Maintenance,202.2,6.2,40.93,42.59,0,
J00201,2026-01-30,C0101,T03,Electrical Panel Upgrade,2690.64,3.7,874.47,537.75,0,
J00202,2026-06-16,C0391,T05,Wiring Repair,775.11,7.8,229.63,153.56,0,
J00203,2025-12-28,C0369,T03,Furnace Repair,464.2,2.3,154.77,138.36,0,
J00204,2026-03-26,C0419,T02,AC Repair,1019.1,3.9,332.62,149.08,0,
J00205,2025-07-05,C0234,T09,Furnace Install,5289.92,5.3,3614.87,3724.79,0,
J00206,2026-03-07,C0273,T01,AC Repair,223.51,4.7,53.91,66.05,1,
J00207,2026-06-23,C0055,T03,Maintenance,209.26,4.7,49.42,46.87,0,
J00208,2025-12-29,C0041,T07,Electrical Panel Upgrade,2807.24,3.8,799.36,836.69,0,
J00209,2026-06-16,C0048,T01,AC Install,5931.67,3.6,1609.86,1348.56,0,
J00210,2025-08-12,C0331,T07,Diagnostic,133.83,5.0,43.99,15.94,0,
J00211,2025-07-22,C0355,T04,Furnace Install,8170.3,4.3,4569.75,4645.53,0,
J00212,2026-04-05,C0162,T03,AC Repair,147.58,2.0,47.68,38.99,0,
J00213,2025-12-01,C0124,T10,Furnace Repair,474.68,6.9,143.14,98.79,0,
J00214,2025-09-10,C0382,T09,AC Install,9345.94,1.4,2481.94,2502.23,0,
J00215,2026-05-11,C0016,T06,Maintenance,172.07,6.5,46.04,25.06,0,
J00216,2026-01-09,C0349,T03,Maintenance,165.75,3.7,52.35,26.37,0,
J00217,2025-08-07,C0079,T05,AC Install,5780.0,6.5,1289.76,1028.4,0,
J00218,2025-08-16,C0228,T05,AC Repair,351.9,1.9,80.27,66.78,0,
J00219,2026-01-25,C0046,T01,AC Install,5623.49,1.7,1629.16,927.23,0,
J00220,2025-11-27,C0399,T07,Maintenance,100.1,7.3,33.61,29.59,0,
J00221,2025-09-25,C0072,T03,Maintenance,124.23,2.9,27.57,16.58,0,
J00222,2025-12-01,C0185,T02,Diagnostic,93.88,2.7,27.58,20.54,0,
J00223,2025-08-24,C0004,T05,Furnace Repair,673.39,3.3,197.32,175.63,0,
J00224,2025-12-19,C0070,T10,Maintenance,128.36,5.2,39.06,25.13,0,
J00225,2026-01-20,C0377,T05,Wiring Repair,686.47,4.4,196.59,101.93,0,
J00226,2026-01-18,C0289,T02,Wiring Repair,339.86,8.0,77.14,86.16,1,
J00227,2026-02-22,C0409,T08,Furnace Install,4831.45,5.8,3448.66,3618.35,0,
J00228,2026-03-13,C0124,T05,Furnace Repair,311.39,2.1,82.04,54.62,0,
J00229,2026-05-03,C0206,T10,Diagnostic,115.08,7.5,38.03,21.14,1,
J00230,2026-01-01,C0394,T02,AC Install,4989.39,5.7,1122.37,1110.32,0,
J00231,2026-05-27,C0408,T06,Maintenance,145.39,1.1,34.72,29.39,0,
J00232,2026-04-24,C0192,T08,Furnace Install,5390.35,6.4,3599.23,3639.11,0,
J00233,2025-07-13,C0152,T02,Diagnostic,106.2,7.7,23.09,30.6,0,
J00234,2025-12-07,C0402,T08,Wiring Repair,344.81,4.4,93.59,64.7,0,
J00235,2025-12-11,C0023,T05,AC Install,8361.12,1.8,2737.24,1919.66,0,
J00236,2025-09-23,C0090,T09,Furnace Install,6290.7,3.3,3996.32,4186.54,0,
J00237,2026-05-19,C0328,T03,Furnace Repair,521.8,3.8,162.08,144.34,0,
J00238,2026-02-05,C0361,T01,Maintenance,117.14,2.9,35.79,30.36,0,
J00239,2026-04-01,C0167,T06,Furnace Repair,282.48,1.8,84.91,55.9,0,
J00240,2025-12-08,C0201,T10,Maintenance,165.9,3.4,54.22,37.07,0,
J00241,2026-06-27,C0303,T10,Electrical Panel Upgrade,2028.83,1.9,441.63,326.8,0,
J00242,2026-06-21,C0199,T09,Furnace Repair,397.48,2.0,102.37,54.52,0,
J00243,2026-06-21,C0086,T09,Furnace Repair,434.61,2.0,107.43,82.66,1,
J00244,2025-12-31,C0070,T08,AC Repair,323.39,4.9,96.36,58.8,0,
J00245,2026-06-29,C0086,T08,Diagnostic,81.2,1.2,25.51,12.86,0,
J00246,2026-04-02,C0400,T03,Electrical Panel Upgrade,3034.77,6.2,955.61,637.14,0,
J00247,2025-08-28,C0188,T09,Electrical Panel Upgrade,3263.52,6.3,1024.75,614.43,0,
J00248,2026-02-03,C0153,T04,AC Install,8748.86,1.2,2094.67,2383.54,1,
J00249,2025-08-30,C0416,T04,Furnace Install,7330.63,5.8,5294.25,5150.25,0,
J00250,2026-05-12,C0417,T04,Furnace Repair,287.61,1.4,72.66,44.93,0,
J00251,2025-12-13,C0294,T05,Electrical Panel Upgrade,2521.83,7.0,877.15,594.8,0,
J00252,2026-01-27,C0336,T05,AC Repair,494.93,2.7,151.8,131.5,0,
J00253,2026-06-12,C0073,T08,Maintenance,164.64,2.9,43.16,31.35,0,
J00254,2025-08-17,C0384,T09,Maintenance,125.45,7.6,32.03,36.39,0,
J00255,2025-07-02,C0326,T08,AC Install,7484.86,3.5,1568.08,1548.51,0,
J00256,2026-02-05,C0138,T08,Furnace Install,5008.04,3.0,3302.62,2917.93,0,
J00257,2025-12-23,C0051,T01,AC Repair,1045.23,1.1,354.77,137.55,0,
J00258,2026-02-05,C0333,T03,Furnace Install,4890.45,7.1,3547.13,2803.86,0,
J00259,2025-08-12,C0027,T03,Wiring Repair,477.44,3.1,145.58,70.1,0,
J00260,2026-06-26,C0110,T01,AC Install,6360.84,1.9,1487.98,1501.14,1,
J00261,2026-06-22,C0217,T02,Wiring Repair,685.82,4.3,160.72,80.84,0,
J00262,2025-08-22,C0154,T06,Wiring Repair,295.99,6.4,92.64,37.48,0,
J00263,2025-09-12,C0289,T09,AC Install,3550.85,5.6,944.58,868.13,0,
J00264,2025-09-16,C0352,T10,Maintenance,146.95,2.5,49.15,18.81,0,
J00265,2026-01-13,C0162,T07,Wiring Repair,753.75,2.7,223.63,112.79,0,
J00266,2026-05-08,C0338,T01,Electrical Panel Upgrade,4164.73,2.4,1212.1,573.61,0,
J00267,2026-05-27,C0254,T04,AC Repair,345.09,5.5,72.69,95.85,1,
J00268,2026-01-01,C0199,T03,Wiring Repair,802.57,5.0,204.5,189.88,0,
J00269,2025-08-07,C0035,T10,AC Repair,149.53,7.5,51.19,26.86,0,
J00270,2026-06-30,C0360,T07,Maintenance,141.7,5.5,39.77,18.5,0,
J00271,2025-08-10,C0275,T03,Furnace Install,5029.8,5.1,3534.16,3583.53,0,
J00272,2025-12-06,C0030,T04,Maintenance,121.03,7.5,26.31,26.92,1,
J00273,2026-06-07,C0007,T02,Furnace Repair,548.11,5.9,123.09,159.28,0,
J00274,2025-11-10,C0065,T06,Furnace Repair,569.88,7.1,176.63,70.44,0,
J00275,2025-12-19,C0269,T05,Maintenance,97.37,6.0,27.9,11.24,0,
J00276,2026-01-01,C0291,T08,AC Repair,193.84,6.4,64.77,45.52,0,
J00277,2026-03-18,C0007,T01,AC Repair,405.88,3.7,90.31,116.18,0,
J00278,2026-04-10,C0165,T04,Maintenance,121.52,7.4,30.14,32.23,0,
J00279,2025-08-31,C0115,T03,AC Repair,1414.09,7.7,297.44,272.95,0,
J00280,2025-12-07,C0284,T02,Wiring Repair,519.72,3.6,126.68,133.52,0,
J00281,2025-11-02,C0303,T06,Diagnostic,147.89,8.0,46.79,36.45,0,
J00282,2025-11-03,C0210,T01,Furnace Repair,192.43,4.8,56.84,45.93,1,
J00283,2025-12-19,C0378,T07,AC Repair,368.92,4.7,86.96,73.2,0,
J00284,2025-09-11,C0023,T02,Electrical Panel Upgrade,4287.44,7.3,1191.75,1029.71,0,
J00285,2025-08-13,C0069,T09,AC Install,7323.29,3.8,2114.85,823.55,0,
J00286,2025-09-05,C0134,T05,Furnace Install,7965.12,7.5,5006.8,6037.36,0,
J00287,2026-02-17,C0039,T04,Electrical Panel Upgrade,4347.6,2.0,1371.76,529.51,1,
J00288,2026-02-16,C0209,T06,Diagnostic,84.06,3.5,26.52,16.0,0,
J00289,2025-08-31,C0414,T03,AC Install,7616.33,6.8,2319.41,823.07,0,
J00290,2025-12-15,C0365,T02,Furnace Repair,309.07,3.5,85.62,72.77,0,
J00291,2025-09-28,C0232,T07,AC Repair,708.41,1.7,152.51,183.31,0,
J00292,2025-08-01,C0102,T03,Furnace Install,7812.57,3.6,5281.76,5556.08,0,
J00293,2025-11-10,C0034,T01,AC Install,4686.5,5.5,1506.22,554.86,0,
J00294,2025-12-17,C0237,T01,AC Install,3803.83,7.5,1007.91,931.5,0,
J00295,2026-01-12,C0182,T03,Maintenance,117.13,2.3,28.34,32.41,1,
J00296,2026-05-14,C0256,T05,Furnace Install,5507.16,4.9,3096.1,3414.13,0,
J00297,2025-10-11,C0407,T09,Furnace Install,3309.37,3.7,2292.31,2217.02,0,
J00298,2025-12-24,C0139,T07,Wiring Repair,325.87,3.2,75.88,90.97,0,
J00299,2025-07-30,C0184,T09,Diagnostic,132.51,8.0,45.86,15.91,0,
J00300,2025-11-14,C0295,T04,AC Repair,1246.55,3.5,406.23,335.38,1,
J00301,2026-04-30,C0303,T06,Wiring Repair,219.74,5.9,75.18,46.74,0,
J00302,2025-10-05,C0159,T09,Diagnostic,88.17,1.3,18.38,19.43,1,
J00303,2026-03-02,C0315,T06,AC Repair,194.07,6.0,65.56,52.18,0,
J00304,2025-07-12,C0361,T10,Furnace Repair,656.96,6.4,214.81,178.78,0,
J00305,2026-01-08,C0052,T10,Maintenance,133.09,3.3,46.1,32.8,0,
J00306,2026-05-24,C0090,T06,Diagnostic,128.04,4.9,42.69,28.52,0,
